name
Clara Hughes
Christa Rothenburger-Luding
Lauryn Williams
Eddie Eagan
Jacob Tullin Thams
Eddy Alvarez
Michael Phelps
Larisa Latynina
Nikolay Andrianov
Boris Shakhlin
Edoardo Mangiarotti
Takashi Ono
Paavo Nurmi
Birgit Fischer-Schmidt
Sawao Kato
Jenny Thompson
Isabell Werth
Ryan Lochte
Dara Torres
Aleksey Nemov
Natalie Coughlin
Mark Spitz
Matt Biondi
Věra Čáslavská
Viktor Chukarin
Allyson Felix
Carl Osburn
Emma McKeon
Ray Ewry
Carl Lewis
Katie Ledecky
Aladár Gerevich
Hubert Van Innis
Akinori Nakayama
Vitali Shcherba
Ágnes Keleti
"Gary Hall, Jr."
Polina Astakhova
Allison Schmitt
Aleksandr Dityatin
Franziska van Almsick
Jason Kenny
Valentina Vezzali
Martin Sheridan
Nadia Comăneci
Ian Thorpe
Mitsuo Tsukahara
Aleksandr Popov
Lyudmila Turishcheva
Zoltán Halmay
Leisel Jones
Anky van Grunsven
Giulio Gaudini
Eizo Kenmotsu
Alf Swahn
Mikhail Voronin
Heikki Savolainen
Yury Titov
Merlene Ottey-Page
Usain Bolt
Gert Fredriksson
Danuta Kozák
Reiner Klimke
Ville Ritola
Elisabeta Oleniuc-Lipă
Charlie Daniels
Bradley Wiggins
Nathan Adrian
Kornelia Ender
Dawn Fraser
Georges Miez
Otto Olsen
Inge de Bruijn
Roland Matthes
Jason Lezak
Henry Taylor
Giovanna Trillini
Cate Campbell
Katalin Kovács
Shelly-Ann Fraser-Pryce
Roger Ducret
Petria Thomas
Vilhelm Carlberg
Philippe Cattiau
Veronica Campbell-Brown
Shirley Babashoff
Eugen Mack
Susie O'Neill
Dmitry Sautin
Sofya Muratova
Margit Korondi
Caeleb Dressel
Svetlana Romashina
Chris Hoy
Pál Kovács
Aaron Peirsol
Yukio Endo
Krisztina Egerszegi
Wu Minxia
Dana Vollmer
Tom Jager
Hans Günter Winkler
Willis Lee
Ivan Patzaichin
Einar Liberg
Simone Biles
Kosuke Kitajima
Libby Lenton-Trickett
Lloyd Spooner
Eric Lemming
Kohei Uchimura
Grant Hackett
Emily Seebohm
Irena Kirszenstein-Szewińska
Pieter van den Hoogenband
Agneta Andersson
Simona Amânar
Shirley Strickland de la Hunty
Mariya Gorokhovskaya
Gustavo Marzi
Kirsty Coventry
Amanda Beard
Svetlana Khorkina
Albert Helgerud
Karin Janz
Ildikó Rejtő-Ujlaky-Sági
Aliya Mustafina
Shannon Miller
Léon Moreaux
Pavel Lednyov
Dagmar Hase
Denis Ablyazin
Sepp Stalder
Masao Takemoto
Penny Oleksiak
Huang Xuechen
Kristin Otto
Nedo Nadi
Rudolf Kárpáti
Amy Van Dyken
Anton Heida
Elaine Thompson-Herah
Nelli Kim
Louis Richardet
Don Schollander
Ole Lilloe-Olsen
Laura Trott-Kenny
Lisa Carrington
Zou Kai
Johnny Weissmuller
Al Lane
Missy Franklin
Georgeta Damian-Andrunache
Steven Redgrave
Jin Jong-O
Jim Lightbody
Olga Korbut
Christian d'Oriola
Guo Jingjing
Lucien Gaudin
Giuseppe Delfino
Matt Grevers
Leontien Zijlaard-van Moorsel
Murray Rose
Ryan Murphy
Kim Su-Nyeong
Konrad Stäheli
Yelena Novikova-Belova
Viktor Sidyak
Max Décugis
Katrin Wagner-Augustin
Doina Ignat
Győző Kulcsár
Rebecca Soni
Andrea Pollack
George Eyser
Knut Holmann
Ralph Rose
